Users	Hotel
645	17
646	2
647	37
648	39
649	39
650	18
651	37
652	10
653	37
654	6
655	57
656	41
657	55
658	17
659	6
660	56
661	4
662	17
663	17
664	18
665	56
666	17
667	38
668	56
669	39
670	2
671	18
672	56
673	17
674	6
675	56
676	18
677	17
678	10
679	6
680	17
681	39
682	17
683	39
684	60
685	39
686	24
687	2
688	56
689	56
690	60
691	56
692	17
693	6
694	37
695	10
696	12
697	56
698	56
699	41
700	19
701	37
702	39
703	56
704	19
705	56
706	39
707	17
708	17
709	17
710	10
711	39
712	2
713	4
714	4
715	2
716	4
717	17
718	26
719	39
720	2
721	10
722	56
723	55
724	37
725	39
726	6
727	17
728	56
729	56
730	66
731	56
732	18
733	56
734	56
735	39
736	56
737	4
738	4
739	56
740	39
741	41
742	17
743	53
744	4
745	39
746	6
747	60
748	38
749	18
750	37
751	17
752	6
753	56
754	56
755	17
756	22
757	37
758	53
759	2
760	56
761	39
762	39
763	60
764	58
765	6
766	17
767	56
768	55
769	2
770	17
771	2
772	41
773	37
774	39
775	60
776	56
777	43
778	56
779	39
780	39
781	39
782	60
783	37
784	2
785	17
786	60
787	41
788	17
789	37
790	17
791	12
792	60
793	10
794	17
795	56
796	56
797	6
798	17
799	45
800	66
801	2
802	56
803	39
804	59
805	56
806	56
807	41
808	39
809	6
810	17
811	17
812	60
813	56
814	60
815	17
816	17
817	56
818	6
819	37
820	49
821	17
822	39
823	60
824	56
825	17
826	39
827	39
828	57
829	66
830	4
831	60
832	10
833	65
834	17
835	60
836	56
837	37
838	2
839	56
840	56
841	56
842	41
843	37
844	56
845	56
846	6
847	56
848	60
849	56
850	17
851	17
852	56
853	19
854	56
855	56
856	56
857	38
858	39
859	56
860	10
861	37
862	2
863	56
864	17
865	17
866	39
867	2
868	37
869	53
870	56
871	56
872	64
873	2
874	4
875	17
876	17
877	61
878	17
879	37
880	2
881	10
882	2
883	17
884	37
885	37
886	56
887	60
888	56
889	26
890	56
891	41
892	17
893	2
894	26
895	56
896	17
897	39
898	17
899	2
900	45
901	17
902	10
903	37
904	37
905	37
906	36
907	4
908	65
909	56
910	39
911	56
912	60
913	55
914	2
915	10
916	2
917	17
918	56
919	60
920	19
921	60
922	15
923	56
924	17
925	17
926	12
927	60
928	12
929	56
930	2
931	14
932	53
933	37
934	17
935	26
936	59
937	56
938	46
939	39
940	56
941	37
942	17
943	4
944	24
945	52
946	56
947	6
948	17
949	56
950	6
951	2
952	58
953	17
954	2
955	17
956	56
957	53
958	17
959	3
960	60
961	56
962	56
963	39
964	59
965	56
966	53
967	56
968	17
969	56
970	6
971	17
972	39
973	56
974	17
975	60
976	56
977	56
978	14
979	39
980	56
981	6
982	17
983	39
984	60
985	53
986	39
987	17
988	57
989	17
990	65
991	59
992	17
993	17
994	37
995	37
996	17
997	56
998	56
999	56
1000	4
1001	56
1002	56
1003	56
1004	17
1005	56
1006	17
1007	39
1008	60
1009	17
1010	15
1011	60
1012	39
1013	39
1014	60
1015	57
1016	39
1017	18
1018	56
1019	56
1020	6
1021	60
1022	19
1023	56
1024	7
1025	17
1026	6
1027	17
1028	56
1029	6
1030	17
1031	39
1032	56
1033	17
1034	56
1035	60
1036	17
1037	56
1038	56
1039	39
1040	17
1041	2
1042	56
1043	56
1044	18
1045	17
1046	17
1047	17
1048	4
1049	56
1050	2
1051	39
1052	56
1053	26
1054	56
1055	2
1056	60
1057	17
1058	18
1059	17
1060	56
1061	10
1062	14
1063	6
1064	56
1065	56
1066	12
1067	17
1068	60
1069	56
1070	55
1071	61
1072	37
1073	17
1074	17
1075	26
1076	17
1077	66
1078	10
1079	6
1080	17
1081	17
1082	59
1083	41
1084	17
1085	17
1086	41
1087	39
1088	10
1089	6
1090	56
1091	4
1092	6
1093	56
1094	56
1095	17
1096	49
1097	6
1098	18
1099	10
1100	2
1101	56
1102	17
1103	26
1104	5
1105	17
1106	48
1107	39
1108	17
1109	56
1110	56
1111	4
1112	17
1113	7
1114	37
1115	39
1116	56
1117	39
1118	53
1119	37
1120	6
1121	39
1122	24
1123	18
1124	17
1125	41
1126	15
1127	56
1128	56
1129	37
1130	14
1131	66
1132	15
1133	56
1134	2
1135	10
1136	56
1137	60
1138	17
1139	18
1140	49
1141	39
1142	4
1143	37
1144	15
1145	39
1146	17
1147	52
1148	56
1149	60
1150	2
1151	56
1152	56
1153	56
1154	52
1155	39
1156	17
1157	37
1158	6
1159	37
1160	4
1161	56
1162	6
1163	56
1164	18
1165	18
1166	60
1167	53
1168	6
1169	45
1170	56
1171	39
1172	39
1173	17
1174	3
1175	12
1176	45
1177	57
1178	2
1179	37
1180	60
1181	60
1182	39
1183	6
1184	2
1185	56
1186	56
1187	39
1188	60
1189	2
1190	17
1191	60
1192	55
1193	17
1194	60
1195	56
1196	41
1197	15
1198	59
1199	56
1200	18
1201	56
1202	12
1203	17
1204	12
1205	17
1206	56
1207	19
1208	56
1209	55
1210	6
1211	18
1212	59
1213	3
1214	60
1215	56
1216	56
1217	17
1218	56
1219	39
1220	49
1221	39
1222	56
1223	12
1224	14
1225	57
1226	6
1227	60
1228	55
1229	15
1230	37
1231	56
1232	56
1233	17
1234	56
1235	56
1236	39
1237	56
1238	60
1239	17
1240	41
1241	66
1242	56
1243	60
1244	17
1245	55
1246	60
1247	18
1248	37
1249	56
1250	17
1251	56
1252	60
1253	2
1254	17
1255	6
1256	37
1257	14
1258	66
1259	55
1260	17
1261	2
1262	60
1263	56
1264	2
1265	56
1266	56
1267	56
1268	6
1269	17
1270	19
1271	56
1272	6
1273	17
1274	37
1275	56
1276	56
1277	53
1278	39
1279	56
1280	39
1281	6
1282	56
1283	60
1284	56
1285	3
1286	45
1287	55
1288	28
1289	2
1290	2
1291	6
1292	56
1293	56
1294	2
1295	39
1296	17
1297	17
1298	17
1299	56
1300	56
1301	60
1302	37
1303	10
1304	41
1305	4
1306	45
1307	56
1308	41
1309	56
1310	5
1311	12
1312	53
1313	59
1314	60
1315	17
1316	17
1317	57
1318	56
1319	10
1320	3
1321	53
1322	17
1323	45
1324	56
1325	56
1326	37
1327	39
1328	24
1329	56
1330	56
1331	4
1332	60
1333	60
1334	60
1335	37
1336	56
1337	56
1338	37
1339	60
1340	39
1341	56
1342	10
1343	39
1344	56
1345	17
1346	14
1347	10
1348	17
1349	39
1350	18
1351	37
1352	66
1353	12
1354	60
1355	39
1356	17
1357	56
1358	56
1359	60
1360	2
1361	2
1362	41
1363	60
1364	39
1365	17
1366	47
1367	37
1368	17
1369	60
1370	17
1371	23
1372	17
1373	39
1374	17
1375	39
1376	17
1377	17
1378	4
1379	6
1380	37
1381	37
1382	55
1383	56
1384	56
1385	17
1386	53
1387	56
1388	18
1389	17
1390	2
1391	57
1392	4
1393	6
1394	55
1395	6
1396	56
1397	10
1398	17
1399	33
1400	53
1401	38
1402	39
1403	66
1404	17
1405	12
1406	17
1407	56
1408	17
1409	39
1410	57
1411	39
1412	56
1413	46
1414	60
1415	56
1416	56
1417	60
1418	56
1419	37
1420	39
1421	17
1422	17
1423	6
1424	39
1425	6
1426	6
1427	17
1428	18
1429	6
1430	56
1431	60
1432	59
1433	49
1434	17
1435	56
1436	15
1437	6
1438	6
1439	56
1440	60
1441	10
1442	17
1443	10
1444	56
1445	37
1446	56
1447	39
1448	41
1449	59
1450	56
1451	56
1452	13
1453	56
1454	60
1455	39
1456	56
1457	3
1458	26
1459	17
1460	17
1461	56
1462	17
1463	6
1464	60
1465	59
1466	60
1467	37
1468	56
1469	17
1470	45
1471	56
1472	11
1473	17
1474	56
1475	19
1476	6
1477	39
1478	60
1479	37
1480	56
1481	17
1482	56
1483	39
1484	2
1485	56
1486	60
1487	63
1488	56
1489	17
1490	17
1491	17
1492	60
1493	17
1494	56
1495	39
1496	24
1497	60
1498	17
1499	43
1500	17
1501	3
1502	17
1503	39
1504	17
1505	56
1506	17
1507	38
1508	56
1509	60
1510	6
1511	17
1512	17
1513	15
1514	56
1515	41
1516	2
1517	17
1518	4
1519	6
1520	4
1521	56
1522	4
1523	39
1524	18
1525	56
1526	55
1527	37
1528	55
1529	19
1530	56
1531	60
1532	39
1533	2
1534	39
1535	2
1536	17
1537	56
1538	4
1539	56
1540	56
1541	56
1542	56
1543	56
1544	39
1545	39
1546	56
1547	60
1548	60
1549	17
1550	33
1551	2
1552	17
1553	19
1554	63
1555	17
1556	56
1557	18
1558	35
1559	17
1560	2
1561	60
1562	19
1563	17
1564	18
1565	14
1566	41
1567	19
1568	41
1569	56
1570	39
1571	39
1572	39
1573	41
1574	39
1575	65
1576	60
1577	56
1578	39
1579	43
1580	56
1581	60
1582	41
1583	60
1584	17
1585	4
1586	39
1587	39
1588	17
1589	17
1590	17
1591	19
1592	43
1593	17
1594	60
1595	39
1596	6
1597	53
1598	39
1599	2
1600	17
1601	18
1602	6
1603	17
1604	41
1605	39
1606	56
1607	62
1608	5
1609	10
1610	15
1611	4
1612	15
1613	23
1614	6
1615	60
1616	56
1617	56
1618	6
1619	2
1620	39
1621	39
1622	56
1623	56
1624	39
1625	41
1626	61
1627	6
1628	6
1629	60
1630	39
1631	19
1632	17
1633	17
1634	6
1635	55
1636	18
1637	17
1638	39
1639	17
1640	17
1641	56
1642	53
1643	26
1644	2
1645	56
1646	39
1647	10
1648	2
1649	45
1650	60
1651	17
1652	39
1653	56
1654	37
1655	37
1656	2
1657	60
1658	17
1659	17
1660	56
1661	56
1662	3
1663	60
1664	6
1665	56
1666	39
1667	60
1668	14
1669	37
1670	39
1671	17
1672	56
1673	56
1674	39
1675	39
1676	59
1677	56
1678	39
1679	6
1680	56
1681	56
1682	12
1683	39
1684	17
1685	60
1686	37
1687	6
1688	2
1689	56
1690	56
1691	45
1692	55
1693	56
1694	56
1695	39
1696	18
1697	37
1698	26
1699	39
1700	17
1701	14
1702	56
1703	39
1704	17
1705	17
1706	53
1707	60
1708	60
1709	39
1710	45
1711	56
1712	56
1713	37
1714	14
1715	41
1716	39
1717	6
1718	60
1719	57
1720	2
1721	17
1722	45
1723	56
1724	39
1725	17
1726	12
1727	2
1728	56
1729	39
1730	17
1731	56
1732	10
1733	39
1734	17
1735	60
1736	17
1737	61
1738	56
1739	41
1740	53
1741	39
1742	56
1743	2
1744	33
1745	56
1746	12
1747	17
1748	66
1749	39
1750	17
1751	39
1752	26
1753	17
1754	24
1755	17
1756	17
1757	41
1758	17
1759	56
1760	65
1761	3
1762	37
1763	17
1764	10
1765	17
1766	56
1767	17
1768	17
1769	56
1770	17
1771	17
1772	17
1773	39
1774	11
1775	17
1776	56
1777	17
1778	56
1779	56
1780	39
1781	56
1782	37
1783	56
1784	56
1785	60
1786	41
1787	56
1788	17
1789	2
1790	17
1791	66
1792	60
1793	13
1794	37
1795	56
1796	60
1797	39
1798	60
1799	41
1800	15
1801	6
1802	18
1803	17
1804	2
1805	56
1806	58
1807	41
1808	56
1809	4
1810	56
1811	6
1812	37
1813	39
1814	48
1815	56
1816	4
1817	53
1818	39
1819	37
1820	2
1821	59
1822	17
1823	56
1824	56
1825	37
1826	39
1827	18
1828	37
1829	2
1830	6
1831	19
1832	4
1833	17
1834	60
1835	41
1836	56
1837	2
1838	37
1839	12
1840	2
1841	53
1842	10
1843	60
1844	49
1845	39
1846	56
1847	2
1848	39
1849	17
1850	60
1851	56
1852	39
1853	24
1854	60
1855	6
1856	19
1857	57
1858	6
1859	2
1860	37
1861	17
1862	18
1863	62
1864	12
1865	18
1866	56
1867	39
1868	26
1869	6
1870	56
1871	6
1872	56
1873	56
1874	10
1875	17
1876	39
1877	60
1878	10
1879	17
1880	12
1881	17
1882	60
1883	39
1884	17
1885	17
1886	39
1887	56
1888	55
1889	43
1890	56
1891	37
1892	56
1893	56
1894	60
1895	56
1896	6
1897	17
1898	56
1899	56
1900	56
1901	60
1902	60
1903	17
1904	37
1905	56
1906	56
1907	6
1908	37
1909	17
1910	17
1911	56
1912	39
1913	2
1914	39
1915	60
1916	17
1917	39
1918	12
1919	57
1920	17
1921	56
1922	56
1923	39
1924	56
1925	17
1926	13
1927	56
1928	7
1929	24
1930	39
1931	33
1932	17
1933	37
1934	17
1935	17
1936	60
1937	39
1938	56
1939	6
1940	39
1941	56
1942	60
1943	10
1944	60
1945	37
1946	41
1947	56
1948	56
1949	39
1950	44
1951	56
1952	17
1953	14
1954	6
1955	17
1956	17
1957	60
1958	6
1959	10
1960	41
1961	2
1962	6
1963	26
1964	17
1965	26
1966	39
1967	39
1968	56
1969	45
1970	56
1971	45
1972	4
1973	17
1974	3
1975	56
1976	2
1977	56
1978	46
1979	2
1980	39
1981	4
1982	4
1983	17
1984	17
1985	2
1986	2
1987	41
1988	15
1989	37
1990	39
1991	18
1992	37
1993	17
1994	13
1995	39
1996	56
1997	17
1998	53
1999	56
2000	17
2001	2
2002	4
2003	39
2004	17
2005	55
2006	6
2007	56
2008	10
2009	6
2010	60
2011	56
2012	17
2013	39
2014	60
2015	6
2016	56
2017	56
2018	6
2019	17
2020	56
2021	56
2022	57
2023	17
2024	2
2025	10
2026	17
2027	60
2028	17
2029	38
2030	56
2031	15
2032	17
2033	6
2034	39
2035	17
2036	59
2037	17
2038	2
2039	17
2040	39
2041	39
2042	17
2043	60
2044	66
2045	41
2046	4
2047	26
2048	2
2049	41
2050	41
2051	60
2052	56
2053	56
2054	37
2055	17
2056	56
2057	56
2058	59
2059	14
2060	39
2061	39
2062	56
2063	7
2064	56
2065	39
2066	3
2067	53
2068	39
2069	17
2070	39
2071	4
2072	65
2073	60
2074	60
2075	10
2076	17
2077	37
2078	37
2079	39
2080	5
2081	17
2082	56
2083	12
2084	60
2085	56
2086	39
2087	56
2088	56
2089	37
2090	2
2091	56
2092	17
2093	55
2094	26
2095	39
2096	39
2097	6
2098	18
2099	39
2100	24
2101	56
2102	17
2103	17
2104	41
2105	56
2106	39
2107	56
2108	56
2109	2
2110	26
2111	56
2112	18
2113	39
2114	17
2115	56
2116	56
2117	39
2118	18
2119	4
2120	6
2121	17
2122	57
2123	11
2124	37
2125	17
2126	56
2127	4
2128	4
2129	17
2130	56
2131	10
2132	18
2133	23
2134	41
2135	17
2136	39
2137	17
2138	37
2139	13
2140	56
2141	6
2142	60
2143	56
2144	2
2145	56
2146	56
2147	37
2148	18
2149	17
2150	12
2151	15
2152	10
2153	39
2154	6
2155	60
2156	2
2157	56
2158	6
2159	37
2160	2
2161	39
2162	39
2163	56
2164	57
2165	4
2166	56
2167	56
2168	56
2169	3
2170	10
2171	17
2172	60
2173	56
2174	56
2175	37
2176	46
2177	66
2178	17
2179	49
2180	56
2181	57
2182	4
2183	12
2184	17
2185	17
2186	53
2187	56
2188	56
2189	60
2190	26
2191	61
2192	4
2193	37
2194	2
2195	39
2196	39
2197	56
2198	19
2199	39
2200	60
2201	37
2202	10
2203	2
2204	4
2205	35
2206	56
2207	56
2208	57
2209	56
2210	17
2211	39
2212	60
2213	56
2214	56
2215	39
2216	41
2217	17
2218	39
2219	2
2220	60
2221	4
2222	56
2223	13
2224	49
2225	60
2226	56
2227	4
2228	4
2229	59
2230	39
2231	60
2232	66
2233	41
2234	62
2235	56
2236	17
2237	65
2238	56
2239	56
2240	60
2241	37
2242	18
2243	60
2244	17
2245	56
2246	60
2247	56
2248	56
2249	6
2250	56
2251	56
2252	39
2253	56
2254	41
2255	4
2256	60
2257	4
2258	17
2259	19
2260	53
2261	17
2262	39
2263	2
2264	56
2265	60
2266	56
2267	17
2268	41
2269	26
2270	4
2271	60
2272	56
2273	2
2274	41
2275	39
2276	56
2277	56
2278	49
2279	17
2280	17
2281	17
2282	37
2283	17
2284	2
2285	17
2286	56
2287	56
2288	4
2289	39
2290	56
2291	10
2292	56
2293	17
2294	39
2295	17
2296	39
2297	4
2298	19
2299	57
2300	56
2301	60
2302	6
2303	14
2304	6
2305	60
2306	60
2307	39
2308	17
2309	4
2310	56
2311	6
2312	6
2313	55
2314	5
2315	17
2316	39
2317	60
2318	56
2319	12
2320	17
2321	60
2322	37
2323	19
2324	56
2325	17
2326	56
2327	39
2328	56
2329	12
2330	56
2331	24
2332	17
2333	6
2334	39
2335	4
2336	17
2337	17
2338	6
2339	6
2340	60
2341	15
2342	6
2343	17
2344	56
2345	60
2346	41
2347	37
2348	4
2349	24
2350	2
2351	15
2352	37
2353	60
2354	17
2355	55
2356	56
2357	17
2358	2
2359	39
2360	37
2361	4
2362	17
2363	56
2364	39
2365	56
2366	60
2367	56
2368	56
2369	56
2370	37
2371	60
2372	39
2373	2
2374	56
2375	41
2376	56
2377	37
2378	55
2379	18
2380	39
2381	56
2382	56
2383	60
2384	18
2385	56
2386	60
2387	17
2388	60
2389	56
2390	56
2391	62
2392	37
2393	37
2394	17
2395	56
2396	56
2397	39
2398	14
2399	2
2400	10
2401	55
2402	37
2403	37
2404	17
2405	60
2406	6
2407	4
2408	56
2409	53
2410	56
2411	13
2412	17
2413	60
2414	56
2415	60
2416	17
2417	56
2418	57
2419	56
2420	56
2421	56
2422	17
2423	37
2424	56
2425	60
2426	2
2427	37
2428	60
2429	41
2430	39
2431	56
2432	17
2433	39
2434	62
2435	56
2436	10
2437	56
2438	56
2439	56
2440	17
2441	39
2442	15
2443	6
2444	39
2445	56
2446	17
2447	39
2448	56
2449	10
2450	26
2451	39
2452	2
2453	56
2454	17
2455	56
2456	60
2457	39
2458	60
2459	17
2460	39
2461	60
2462	4
2463	56
2464	46
2465	2
2466	59
2467	10
2468	26
2469	46
2470	56
2471	53
2472	13
2473	59
2474	41
2475	17
2476	17
2477	56
2478	56
2479	39
2480	52
2481	6
2482	18
2483	6
2484	41
2485	17
2486	12
2487	37
2488	17
2489	37
2490	45
2491	18
2492	56
2493	10
2494	33
2495	41
2496	39
2497	60
2498	45
2499	45
2500	39
2501	6
2502	39
2503	17
2504	14
2505	6
2506	17
2507	41
2508	2
2509	39
2510	39
2511	17
2512	56
2513	17
2514	2
2515	17
2516	17
2517	19
2518	39
2519	39
2520	2
2521	39
2522	56
2523	18
2524	56
2525	56
2526	56
2527	56
2528	10
2529	2
2530	17
2531	39
2532	6
2533	15
2534	2
2535	60
2536	56
2537	56
2538	6
2539	56
2540	56
2541	18
2542	17
2543	17
2544	17
2545	60
2546	39
2547	6
2548	56
2549	33
2550	23
2551	17
2552	14
2553	56
2554	17
2555	45
2556	56
2557	60
2558	6
2559	17
2560	56
2561	59
2562	56
2563	17
2564	13
2565	49
2566	17
2567	17
2568	2
2569	17
2570	56
2571	17
2572	39
2573	2
2574	6
2575	39
2576	39
2577	56
2578	4
2579	12
2580	39
2581	43
2582	39
2583	17
2584	56
2585	4
2586	55
2587	6
2588	19
2589	56
2590	39
2591	56
2592	17
2593	17
2594	56
2595	39
2596	37
2597	6
2598	56
2599	17
2600	56
2601	60
2602	56
2603	17
2604	57
2605	17
2606	56
2607	14
2608	17
2609	2
2610	17
2611	45
2612	66
2613	41
2614	2
2615	13
2616	18
2617	37
2618	56
2619	17
2620	2
2621	55
2622	39
2623	39
2624	65
2625	39
2626	37
2627	14
2628	60
2629	17
2630	56
2631	10
2632	37
2633	60
2634	39
2635	45
2636	17
2637	17
2638	56
2639	39
2640	39
2641	63
2642	39
2643	41
2644	39
2645	17
2646	56
2647	17
2648	37
2649	56
2650	56
2651	56
2652	26
2653	60
2654	17
2655	2
2656	35
2657	60
2658	45
2659	56
2660	39
2661	2
2662	60
2663	52
2664	41
2665	10
2666	17
2667	56
2668	14
2669	4
2670	41
2671	56
2672	13
2673	56
2674	39
2675	60
2676	18
2677	12
2678	56
2679	41
2680	57
2681	39
2682	17
2683	19
2684	17
2685	56
2686	63
2687	56
2688	55
2689	56
2690	17
2691	39
2692	56
2693	56
2694	57
2695	45
2696	60
2697	56
2698	63
2699	6
2700	17
2701	2
2702	56
2703	24
2704	6
2705	17
2706	60
2707	26
2708	56
2709	39
2710	56
2711	60
2712	4
2713	56
2714	56
2715	26
2716	56
2717	17
2718	17
2719	60
2720	56
2721	59
2722	45
2723	56
2724	56
2725	12
2726	39
2727	10
2728	17
2729	39
2730	39
2731	56
2732	39
2733	39
2734	17
2735	37
2736	10
2737	10
2738	39
2739	39
2740	6
2741	17
2742	13
2743	2
2744	17
2745	56
2746	17
2747	39
2748	56
2749	2
2750	2
2751	56
2752	60
2753	60
2754	56
2755	17
2756	60
2757	37
2758	10
2759	45
2760	60
2761	56
2762	41
2763	53
2764	56
2765	60
2766	39
2767	56
2768	6
2769	45
2770	56
2771	39
2772	45
2773	56
2774	37
2775	6
2776	60
2777	56
2778	39
2779	17
2780	56
2781	2
2782	65
2783	56
2784	56
2785	60
2786	17
2787	39
2788	39
2789	26
2790	17
2791	56
2792	10
2793	2
2794	39
2795	56
2796	17
2797	17
2798	60
2799	39
2800	6
2801	19
2802	2
2803	39
2804	6
2805	45
2806	17
2807	17
2808	60
2809	2
2810	39
2811	37
2812	55
2813	13
2814	17
2815	6
2816	39
2817	66
2818	24
2819	56
2820	39
2821	17
2822	60
2823	2
2824	39
2825	60
2826	18
2827	56
2828	17
2829	17
2830	56
2831	2
2832	45
2833	56
2834	55
2835	60
2836	60
2837	56
2838	17
2839	56
2840	4
2841	55
2842	56
2843	6
2844	4
2845	59
2846	37
2847	17
2848	17
2849	39
2850	39
2851	17
2852	41
2853	2
2854	55
2855	62
2856	56
2857	56
2858	39
2859	12
2860	4
2861	39
2862	60
2863	56
2864	6
2865	17
2866	56
2867	60
2868	56
2869	17
2870	10
2871	17
2872	56
2873	37
2874	60
2875	61
2876	56
2877	56
2878	6
2879	39
2880	56
2881	60
2882	57
2883	17
2884	56
2885	6
2886	56
2887	41
2888	5
2889	17
2890	60
2891	39
2892	2
2893	41
2894	17
2895	17
2896	66
2897	56
2898	60
2899	56
2900	56
2901	53
2902	39
2903	18
2904	56
2905	17
2906	60
2907	59
2908	49
2909	56
2910	37
2911	60
2912	56
2913	59
2914	39
2915	17
2916	39
2917	6
2918	17
2919	60
2920	62
2921	2
2922	39
2923	60
2924	56
2925	2
2926	10
2927	2
2928	56
2929	39
2930	56
2931	56
2932	6
2933	10
2934	60
2935	6
2936	17
2937	6
2938	18
2939	2
2940	56
2941	56
2942	39
2943	56
2944	56
2945	6
2946	17
2947	33
2948	4
2949	37
2950	56
2951	39
2952	17
2953	37
2954	60
2955	41
2956	17
2957	12
2958	21
2959	17
2960	19
2961	56
2962	41
2963	4
2964	56
2965	6
2966	17
2967	66
2968	10
2969	25
2970	2
2971	39
2972	39
2973	60
2974	2
2975	45
2976	10
2977	39
2978	41
2979	60
2980	17
2981	2
2982	17
2983	57
2984	56
2985	41
2986	10
2987	56
2988	15
2989	2
2990	17
2991	18
2992	39
2993	39
2994	66
2995	12
2996	6
